name,T,ra,dec,Dh,Dhe,rh,rhe,MV,MVe,RV_h,RVe,ref
AndromedaIX,g,13.2208,43.1958,765.6,24.68,2.5,0.1,-8.12,1.1,-209.4,2.5,McConnachie2012
NGC205,g,10.0921,41.6853,824.14,26.57,2.46,0.1,-16.48,0.12,-246.0,1.0,McConnachie2012
AndromedaI,g,11.4158,38.0411,744.73,24.01,3.1,0.3,-11.86,0.12,-376.3,2.2,McConnachie2012
AndromedaXVII,g,9.2792,44.3222,727.78,31.84,1.24,0.08,-8.51,0.41,-251.6,1.9,McConnachie2012
AndromedaXXVII,g,9.3629,45.3869,827.94,45.75,1.8,0.3,-7.89,0.51,-539.6,4.6,McConnachie2012
AndromedaIII,g,8.8908,36.4978,748.17,24.12,2.2,0.2,-10.17,0.31,-344.3,1.7,McConnachie2012
AndromedaXXV,g,7.5371,46.8519,812.83,44.92,3.0,0.2,-9.75,0.51,-107.8,1.0,McConnachie2012
AndromedaXXVI,g,5.94,47.9161,762.08,42.11,1.0,0.1,-7.11,0.51,-261.6,2.9,McConnachie2012
AndromedaV,g,17.5713,47.6281,772.68,28.47,1.4,0.2,-9.54,0.22,-403.0,4.0,McConnachie2012
AndromedaXI,g,11.5833,33.8014,734.51,16.91,0.71,0.03,-6.83,1.2,-419.6,4.4,McConnachie2012
AndromedaXIX,g,4.8838,35.0436,820.35,96.34,6.2,0.1,-8.97,0.65,-111.6,1.5,McConnachie2012
AndromedaXXIII,g,22.3408,38.7189,769.13,46.05,4.6,0.2,-10.23,0.52,-237.7,1.2,McConnachie2012
AndromedaXX,g,1.8779,35.1322,741.31,47.79,0.53,0.09,-6.15,0.81,-456.2,3.35,McConnachie2012
AndromedaXIII,g,12.9625,33.0044,839.46,19.33,0.78,0.08,-6.52,1.2,-185.4,2.4,McConnachie2012
AndromedaX,g,16.6404,44.8044,669.88,32.39,1.3,0.1,-7.53,1.01,-164.1,1.7,McConnachie2012
AndromedaXXI,g,358.6987,42.4708,827.94,24.78,3.5,0.3,-9.79,0.6,-362.5,0.9,McConnachie2012
AndXXXII,g,8.9975,51.5597,776.25,50.05,6.5,1.1,-12.25,0.71,-,-,McConnachie2012
