name,T,ra,dec,Dh,Dhe,rh,rhe,MV,MVe,RV_h,RVe,ref
2MS-GC01,c,272.0909,-19.8297,3.6,-,1.65,-,-6.11,-,-,-,Harris2010
ESO-SC06,c,272.275,-46.4231,21.4,-,1.05,-,-4.87,-,-,-,Harris2010
NGC6553,c,272.3233,-25.9087,6.0,-,1.03,-,-7.77,-,-3.2,1.5,Harris2010
2MS-GC02,c,272.4021,-20.7789,4.9,-,0.55,-,-4.86,-,-238.0,36.0,Harris2010
NGC6558,c,272.5733,-31.7639,7.4,-,2.15,-,-6.44,-,-197.2,1.5,Harris2010
IC1276,c,272.6842,-7.2076,5.4,-,2.38,-,-6.67,-,155.7,1.3,Harris2010
Terzan12,c,273.0658,-22.7419,4.8,-,0.75,-,-4.14,-,94.1,1.5,Harris2010
NGC6569,c,273.4117,-31.8269,10.9,-,0.8,-,-8.28,-,-28.1,5.6,Harris2010
BH261,c,273.5275,-28.635,6.5,-,0.55,-,-4.19,-,-,-,Harris2010
GLIMPSE02,c,274.6271,-16.9772,5.5,-,-,-,-,-,-,-,Harris2010
NGC6584,c,274.6567,-52.2158,13.5,-,0.73,-,-7.69,-,222.9,15.0,Harris2010
NGC6624,c,275.9188,-30.361,7.9,-,0.82,-,-7.49,-,53.9,0.6,Harris2010
NGC6626,c,276.1367,-24.8698,5.5,-,1.97,-,-8.16,-,17.0,1.0,Harris2010
NGC6638,c,277.7338,-25.4975,9.4,-,0.51,-,-7.12,-,18.1,3.9,Harris2010
NGC6637,c,277.8462,-32.3481,8.8,-,0.84,-,-7.64,-,39.9,2.8,Harris2010
NGC6642,c,277.9754,-23.4752,8.1,-,0.73,-,-6.66,-,-57.2,5.4,Harris2010
NGC6652,c,278.9401,-32.9907,10.0,-,0.48,-,-6.66,-,-111.7,5.8,Harris2010
NGC6656,c,279.0998,-23.9048,3.2,-,3.36,-,-8.5,-,-146.3,0.2,Harris2010
Pal8,c,280.3746,-19.8258,12.8,-,0.58,-,-5.51,-,-43.0,15.0,Harris2010
NGC6681,c,280.8032,-32.2921,9.0,-,0.71,-,-7.12,-,220.3,0.9,Harris2010
GLIMPSE01,c,282.2071,-1.4972,4.2,-,0.65,-,-5.91,-,-,-,Harris2010
NGC6712,c,283.2679,-8.7061,6.9,-,1.33,-,-7.5,-,-107.6,0.5,Harris2010
NGC6715,c,283.7639,-30.4799,26.5,-,0.82,-,-9.98,-,141.3,0.3,Harris2010
NGC6717,c,283.7752,-22.7015,7.1,-,0.68,-,-5.66,-,22.8,3.4,Harris2010
NGC6723,c,284.8881,-36.6322,8.7,-,1.53,-,-7.83,-,-94.5,3.6,Harris2010
NGC6749,c,286.3137,1.9008,7.9,-,1.1,-,-6.7,-,-61.7,2.9,Harris2010
NGC6752,c,287.7171,-59.9846,4.0,-,1.91,-,-7.73,-,-26.7,0.2,Harris2010
NGC6760,c,287.8,1.0305,7.4,-,1.27,-,-7.84,-,-27.5,6.3,Harris2010
NGC6779,c,289.1482,30.1835,9.4,-,1.1,-,-7.41,-,-135.6,0.9,Harris2010
Terzan7,c,289.433,-34.6577,22.8,-,0.77,-,-5.01,-,166.0,4.0,Harris2010
Pal10,c,289.5088,18.5717,5.9,-,0.99,-,-5.79,-,-31.7,0.4,Harris2010
Arp2,c,292.1838,-30.3556,28.6,-,1.77,-,-5.29,-,115.0,10.0,Harris2010
NGC6809,c,294.9988,-30.9648,5.4,-,2.83,-,-7.57,-,174.7,0.3,Harris2010
Terzan8,c,295.435,-33.9995,26.3,-,0.95,-,-5.07,-,130.0,8.0,Harris2010
Pal11,c,296.31,-8.0072,13.4,-,1.46,-,-6.92,-,-68.0,10.0,Harris2010
NGC6838,c,298.4437,18.7792,4.0,-,1.67,-,-5.61,-,-22.8,0.2,Harris2010
NGC6864,c,301.5195,-21.9212,20.9,-,0.46,-,-8.57,-,-189.3,3.6,Harris2010
NGC6934,c,308.5474,7.4045,15.6,-,0.69,-,-7.45,-,-411.4,1.6,Harris2010
NGC6981,c,313.3654,-12.5373,17.0,-,0.93,-,-7.04,-,-345.0,3.7,Harris2010
NGC7006,c,315.3724,16.1873,41.2,-,0.44,-,-7.67,-,-384.1,0.4,Harris2010
NGC7078,c,322.493,12.167,10.4,-,1.0,-,-9.19,-,-107.0,0.2,Harris2010
NGC7089,c,323.3626,-0.8232,11.5,-,1.06,-,-9.03,-,-5.3,2.0,Harris2010
NGC7099,c,325.0922,-23.1799,8.1,-,1.03,-,-7.45,-,-184.2,0.2,Harris2010
Pal12,c,326.6618,-21.2526,19.0,-,1.72,-,-4.47,-,27.8,1.5,Harris2010
Pal13,c,346.6852,12.772,26.0,-,0.36,-,-3.76,-,25.2,0.3,Harris2010
NGC7492,c,347.111,-15.6115,26.3,-,1.15,-,-5.81,-,-177.5,0.6,Harris2010
SegueIII,c,320.3792,19.1172,16.9,0.7,0.43,0.1,0.0,0.8,-167,30,Belokurov2010/Fadely2011
Balbinot1,c,332.6798,14.9497,31.9,1.3,0.78,0.17,-1.21,0.66,-,-,Balbinot2013
Kim1,c,332.9221,7.0255,19.8,0.9,1.2,0.1,0.3,0.5,-,-,Kim2015
Crater,c,174.0688,-10.877,145,3,0.46,0.01,-5.3,0.1,149.3,1.2,Belokurov2014/Weisz2015/Kirby2015
Laevens3,c,316.7262,14.98,67,3,0.4,0.09,-4.4,0.3,-,-,Laevens2015
Kim2,c,317.2082,-51.1635,104.7,4.1,0.42,0.02,-1.5,0.5,-,-,Kim2015
Munoz1,c,225.4501,66.9687,45,5,0.49,0.15,-0.4,0.9,-137,4,Munoz2015
Kim3,c,200.6883,-30.601,15.1,0.5,0.52,0.15,0.7,0.3,-,-,Kim2015
DES1,c?,8.4988,-49.0389,87.1,-,0.39,0.17,-3.1,0.5,-,-,Luque2015
Crater2,g,177.31,-18.413,117.5,1.1,31.2,2.5,-8.2,0.1,-,-,Torrealba2016
Aquarius2,g,338.4813,-9.3274,107.9,3.3,5.1,0.8,-4.2,0.2,-71.1,2.5,Torrealba2016
